Wave	Flux
3994.825766	38.61924962
3995.600141	28.17131791
3996.374516	39.63088754
3997.148891	36.83851637
3997.923266	25.83703276
3998.697642	34.46004256
3999.472017	40.79118503
4000.246392	36.96392754
4001.020767	29.67592901
4001.795143	20.53448607
4002.569518	29.40389114
4003.343893	25.32068941
4004.118268	36.66211382
4004.892643	24.11106019
4005.667019	34.20147252
4006.441394	29.75658243
4007.215769	31.06663005
4007.990144	36.13873216
4008.76452	32.93641823
4009.538895	40.02795541
4010.31327	46.96070832
4011.087645	33.14404188
4011.86202	37.90723637
4012.636396	43.92021739
4013.410771	42.04675785
4014.185146	36.57281802
4014.959521	22.85920108
4015.733897	35.48253309
4016.508272	35.86118858
4017.282647	33.36284902
4018.057022	39.97505026
4018.831397	28.9316041
4019.605773	24.94062838
4020.380148	39.59603743
4021.154523	30.39999924
4021.928898	29.90459349
4022.703273	28.89397731
4023.477649	31.52311728
4024.252024	45.58598444
4025.026399	42.78173364
4025.800774	56.1321852
4026.57515	44.70012562
4027.349525	48.61040028
4028.1239	55.61559569
4028.898275	64.13074908
4029.67265	64.3498871
4030.447026	41.87895533
4031.221401	45.87906313
4031.995776	41.62728067
4032.770151	41.46412889
4033.544527	35.82321768
4034.318902	35.46600271
4035.093277	28.11278264
4035.867652	27.95071083
4036.642027	26.63039558
4037.416403	34.04877895
4038.190778	36.52506124
4038.965153	47.5991647
4039.739528	28.78928404
4040.513904	37.23008647
4041.288279	29.11880103
4042.062654	39.26353464
4042.837029	27.17344428
4043.611404	25.13158401
4044.38578	27.005565
4045.160155	29.55386362
4045.93453	43.56050367
4046.708905	36.57586999
4047.483281	36.65086946
4048.257656	39.06163905
4049.032031	27.9146484
4049.806406	36.16595104
4050.580781	34.5975716
4051.355157	28.63825542
4052.129532	40.14083314
4052.903907	35.54402768
4053.678282	25.239946
4054.452658	47.56944973
4055.227033	34.36125205
4056.001408	19.49580265
4056.775783	35.77032577
4057.550158	30.95785514
4058.324534	30.94328617
4059.098909	32.9060018
4059.873284	28.66611221
4060.647659	13.26138076
4061.422034	35.58272385
4062.19641	15.31527286
4062.970785	30.78401751
4063.74516	38.7721073
4064.519535	16.53206878
4065.293911	11.93260179
4066.068286	23.62605706
4066.842661	35.77968813
4067.617036	33.78566934
4068.391411	35.41800506
4069.165787	36.67978769
4069.940162	16.15129174
4070.714537	26.56785014
4071.488912	34.95050111
4072.263288	28.25239485
4073.037663	37.45543959
4073.812038	30.50660628
4074.586413	34.035687
4075.360788	53.37191129
4076.135164	47.4614795
4076.909539	25.25001245
4077.683914	32.02091325
4078.458289	43.39316437
4079.232665	34.25012927
4080.00704	29.98192231
4080.781415	27.71661475
4081.55579	38.30055612
4082.330165	29.88603024
4083.104541	17.21667522
4083.878916	38.78177671
4084.653291	31.04682007
4085.427666	18.73184511
4086.202042	27.99761528
4086.976417	18.20212658
4087.750792	31.53780801
4088.525167	41.82190766
4089.299542	22.69433141
4090.073918	28.21352133
4090.848293	33.14138697
4091.622668	32.00872657
4092.397043	38.31825911
4093.171419	19.71822556
4093.945794	21.4595109
4094.720169	25.14076638
4095.494544	32.86848354
4096.268919	34.73698263
4097.043295	34.5364317
4097.81767	20.00501768
4098.592045	34.64763124
4099.36642	24.39528474
4100.140795	26.46220395
4100.915171	42.36670337
4101.689546	37.44006594
4102.463921	32.21057187
4103.238296	27.20241546
4104.012672	24.04627805
4104.787047	29.37569553
4105.561422	28.68457488
4106.335797	29.30751468
4107.110172	25.00258619
4107.884548	15.27483366
4108.658923	37.10389444
4109.433298	33.59767303
4110.207673	39.82930236
4110.982049	25.52651312
4111.756424	20.70864134
4112.530799	32.56234465
4113.305174	38.76764979
4114.079549	36.15813451
4114.853925	38.83971641
4115.6283	13.15386978
4116.402675	9.149038444
4117.17705	24.07862147
4117.951426	24.85659212
4118.725801	19.67373913
4119.500176	29.12117802
4120.274551	23.12174423
4121.048926	18.59909916
4121.823302	35.42010676
4122.597677	18.67819484
4123.372052	17.44803565
4124.146427	24.03130674
4124.920803	36.23689534
4125.695178	41.28585492
4126.469553	32.09140228
4127.243928	30.61126779
4128.018303	26.45468653
4128.792679	35.2148548
4129.567054	32.09278929
4130.341429	28.54938578
4131.115804	24.36655974
4131.89018	22.53119286
4132.664555	16.16781417
4133.43893	44.39642725
4134.213305	47.52742631
4134.98768	28.09731635
4135.762056	24.28496664
4136.536431	24.1988128
4137.310806	25.26818131
4138.085181	21.98632833
4138.859556	25.13941907
4139.633932	23.29227844
4140.408307	26.17295014
4141.182682	27.19140138
4141.957057	18.11244829
4142.731433	35.96009556
4143.505808	22.13829663
4144.280183	36.76613211
